Stopword;Language;English translation;Source;Reason
ayant;FRENCH;;stopwords-forbidden-FR-20111013.csv;part of ayant droit, means a person entitled
vor;GERMAN;before;stopwords-forbidden-GE-20120107.csv;Different items
bis;GERMAN;until;stopwords-forbidden-FR-20111013.csv|stopwords-forbidden-GE-20120107.csv;like bis, ter, quater...|Abbreviation for different items
einig;GERMAN;some;stopwords-forbidden-GE-20120107.csv;city in Germany
bin;GERMAN;am;stopwords-forbidden-SW-20111107.csv|stopwords-forbidden-GE-20120107.csv;bees|Surname
avons;FRENCH;;stopwords-forbidden-SW-20111107.csv;carrion
manches;GERMAN;;stopwords-forbidden-FR-20111013.csv;means sleeves
manchen;GERMAN;;stopwords-forbidden-GE-20120107.csv;Surname
algo;SPANISH;something;stopwords-forbidden-PT-20110831.csv;something
han;SPANISH|SWEDISH;|he;stopwords-forbidden-FR-20111013.csv;name of the Chinese people and of a shell
has;ENGLISH|SPANISH;-s form|;stopwords-forbidden-SW-20111107.csv;hindleg
hat;GERMAN;has;stopwords-forbidden-GE-20120107.csv;Villages in the Ukraine
hab;GERMAN;have;stopwords-forbidden-GE-20120107.csv;Abbreviation for different items
einem;GERMAN;;stopwords-forbidden-GE-20120107.csv;Surname
einer;GERMAN;;stopwords-forbidden-GE-20120107.csv;Title of a book, single (sculls), …
das;GERMAN|PORTUGUESE;|de + as;stopwords-forbidden-GE-20120107.csv;Surname, Abbreviation for different items
été;FRENCH;;stopwords-forbidden-FR-20111013.csv;means summer
van;DUTCH;of, from;stopwords-forbidden-FR-20111013.csv;principal meaning : trailer, fan
var;SWEDISH;where, each;stopwords-forbidden-FR-20111013.csv;name of a French department
alle;GERMAN;all;stopwords-forbidden-GE-20120107.csv;Surname
pas;FRENCH;not;stopwords-forbidden-FR-20111013.csv;means also pace
las;SPANISH;the, them;stopwords-forbidden-PT-20110831.csv|stopwords-forbidden-FR-20111013.csv;them|means tired
todos;SPANISH;all;stopwords-forbidden-PT-20110831.csv;all
will;GERMAN;want;stopwords-forbidden-GE-20120107.csv;Surname
eure;GERMAN;;stopwords-forbidden-GE-20120107.csv;name of a French river and departement
hin;GERMAN;there;stopwords-forbidden-SW-20111107.csv;the devil
bei;GERMAN;by;stopwords-forbidden-GE-20120107.csv;Surname
minut;FINNISH;I;stopwords-forbidden-SW-20111107.csv;minute
ben;DUTCH;(1) am, (2) 'are' in interrogative second person singular of 'to be';stopwords-forbidden-SW-20111107.csv;Leg in Swedish
sean;SPANISH;;stopwords-forbidden-FR-20111013.csv;very common first name in Irish
aura;FRENCH;;stopwords-forbidden-FR-20111013.csv|stopwords-forbidden-SW-20111107.csv;means aura|aura
also;GERMAN;so;stopwords-forbidden-GE-20120107.csv;A corporate group
werden;GERMAN;will;stopwords-forbidden-GE-20120107.csv;Surname, City
avions;FRENCH;;stopwords-forbidden-FR-20111013.csv;means planes
euren;GERMAN;;stopwords-forbidden-GE-20120107.csv;city in Germany
eures;GERMAN;;stopwords-forbidden-GE-20120107.csv;European Network
los;SPANISH;the, them;stopwords-forbidden-PT-20110831.csv;them
euch;GERMAN;to you;stopwords-forbidden-GE-20120107.csv;Surname
sehr;GERMAN;very;stopwords-forbidden-GE-20120107.csv;Surname
antes;SPANISH;before;stopwords-forbidden-PT-20110831.csv;before
ihre;GERMAN;;stopwords-forbidden-GE-20120107.csv;Surname
sein;GERMAN;his;stopwords-forbidden-FR-20111013.csv;means breast
nada;SPANISH;nothing;stopwords-forbidden-PT-20110831.csv;nothing
uns;GERMAN;us;stopwords-forbidden-GE-20120107.csv;organisation
und;GERMAN;and;stopwords-forbidden-GE-20120107.csv;cloister
nach;GERMAN;to(wards);stopwords-forbidden-GE-20120107.csv;Spanish musician
kann;GERMAN;can;stopwords-forbidden-GE-20120107.csv;Surname
but;ENGLISH;;stopwords-forbidden-FR-20111013.csv;means goal
nicht;GERMAN;not;stopwords-forbidden-GE-20120107.csv;Surname
machen;GERMAN;do;stopwords-forbidden-GE-20120107.csv;Surname
keiner;GERMAN;;stopwords-forbidden-GE-20120107.csv;Surname
do;ENGLISH|PORTUGUESE|IRISH;simple|de + o|for;stopwords-forbidden-FR-20111013.csv;in music, note C
mas;PORTUGUESE;but;stopwords-forbidden-FR-20111013.csv|stopwords-forbidden-SW-20111107.csv;means farm (in the south)|person from Dalarna
man;GERMAN|SWEDISH;one|one (pronoun);stopwords-forbidden-FR-20111013.csv|stopwords-forbidden-SW-20111107.csv|stopwords-forbidden-GE-20120107.csv;place name (Island of Man)|a man|Different items
eu;FRENCH|PORTUGUESE;|I;stopwords-forbidden-FR-20111013.csv;place name in France
en;DUTCH|FINNISH|FRENCH|SPANISH|SWEDISH;and|negation|`of them' etc|in|a;stopwords-forbidden-FR-20111013.csv;frequent in name places such as Roissy-en-France
es;FRENCH|GERMAN|SPANISH;|it|;stopwords-forbidden-GE-20120107.csv;Surname, etc.
er;DUTCH|GERMAN|SWEDISH;there|he|you, your;stopwords-forbidden-GE-20120107.csv;Abbreviation for different items, etc.
by;ENGLISH;;stopwords-forbidden-SW-20111107.csv;village
da;GERMAN|PORTUGUESE;there|de + a;stopwords-forbidden-GE-20120107.csv;Abbreviation for different items
and;ENGLISH;;stopwords-forbidden-SW-20111107.csv;duck
mes;FRENCH;me (pl);stopwords-forbidden-SW-20111107.csv;a tit bird
als;DUTCH|GERMAN;like, such as, when|than, as;stopwords-forbidden-GE-20120107.csv;River in Austria, Abbreviation for different groups
as;ENGLISH|FRENCH|PORTUGUESE;||the, them;stopwords-forbidden-FR-20111013.csv|stopwords-forbidden-SW-20111107.csv;means ace|carrion
au;FRENCH;a + le;stopwords-forbidden-FR-20111013.csv;frequent in name places such as Port-au-Prince
al;DUTCH|SPANISH;all, every, each|a + el;stopwords-forbidden-FR-20111013.csv;part of arab names such as Al Mansur or Al Ghazi
ai;FRENCH;;stopwords-forbidden-FR-20111013.csv;specific part of the bookbinding
am;ENGLISH|GERMAN;1st person, present|an + dem;stopwords-forbidden-GE-20120107.csv;Abbreviation for different items
an;ENGLISH|GERMAN|IRISH;|at|the;stopwords-forbidden-FR-20111013.csv|stopwords-forbidden-GE-20120107.csv;means year|Abbreviation for different items
mille;FINNISH;which what;stopwords-forbidden-FR-20111013.csv;means thousand
deines;GERMAN;;stopwords-forbidden-GE-20120107.csv;Surname
ob;GERMAN;whether;stopwords-forbidden-GE-20120107.csv;river
os;PORTUGUESE|SPANISH;the, them|you;stopwords-forbidden-FR-20111013.csv;means bone
or;ENGLISH;;stopwords-forbidden-FR-20111013.csv|stopwords-forbidden-SW-20111107.csv;means gold|passage in a mine
po;POLISH;;stopwords-forbidden-SW-20111107.csv;the river Po
lo;SPANISH;him;stopwords-forbidden-PT-20110831.csv;him, it
donde;SPANISH;where;stopwords-forbidden-PT-20110831.csv;where
dela;PORTUGUESE;of her;stopwords-forbidden-SW-20111107.csv;share
mi;SPANISH;me;stopwords-forbidden-FR-20111013.csv;note E
ihm;GERMAN;to him;stopwords-forbidden-GE-20120107.csv;Surname
ihn;GERMAN;him;stopwords-forbidden-GE-20120107.csv;City, etc.
more;ENGLISH;;stopwords-forbidden-FR-20111013.csv;more is a synonym of maure, means moor or moorish
ins;GERMAN;in + das;stopwords-forbidden-GE-20120107.csv;Surname, Abbreviation for different items
sedan;SWEDISH;since;stopwords-forbidden-FR-20111013.csv;city in the north of France
la;FRENCH|SPANISH;the|the, her;stopwords-forbidden-PT-20110831.csv;her, it
delas;PORTUGUESE;of them;stopwords-forbidden-SW-20111107.csv;to share
jetzt;GERMAN;now;stopwords-forbidden-GE-20120107.csv;magazine
if;ENGLISH;;stopwords-forbidden-FR-20111013.csv;kind of tree
im;GERMAN;in + dem;stopwords-forbidden-GE-20120107.csv;Abbreviation for different items
in;DUTCH|ENGLISH|GERMAN|SWEDISH;in, inside||in|;stopwords-forbidden-GE-20120107.csv;Abbreviation for different items
dos;PORTUGUESE;de + os;stopwords-forbidden-FR-20111013.csv;means back
wo;GERMAN;where;stopwords-forbidden-GE-20120107.csv;Abbreviation for different items
mot;SWEDISH;towards;stopwords-forbidden-FR-20111013.csv;means word!
ut;SWEDISH;out;stopwords-forbidden-FR-20111013.csv;note C (as do)
um;GERMAN|PORTUGUESE|IRISH;about, around|a|of;stopwords-forbidden-GE-20120107.csv;Different items
te;DUTCH|FINNISH|FRENCH|PORTUGUESE|SPANISH;(1) chez, at etc, (2) to, (3) too|you|thee|thee|thee;stopwords-forbidden-SW-20111107.csv;tea
ti;SPANISH;thee;stopwords-forbidden-PT-20110831.csv;thee
étais;FRENCH;;stopwords-forbidden-FR-20111013.csv;means stock or something (plural)
waren;DUTCH|GERMAN;(1) 'were' (2) to wander, (3) wares, (3)|were;stopwords-forbidden-GE-20120107.csv;city in Germany
würden;GERMAN;would;stopwords-forbidden-GE-20120107.csv;city
so;ENGLISH|GERMAN;|so;stopwords-forbidden-SW-20111107.csv|stopwords-forbidden-GE-20120107.csv;female pig|Different items
se;FINNISH|FRENCH|PORTUGUESE|SPANISH|SWEDISH;it|oneself|himself etc|himself, from him etc|;stopwords-forbidden-SW-20111107.csv;to see
hans;SWEDISH;his;stopwords-forbidden-FR-20111013.csv;very common first name in lot of languages, including French (well, Alsaciens)
ton;FRENCH;thy (masc);stopwords-forbidden-SW-20111107.csv;music note
porque;SPANISH;because;stopwords-forbidden-PT-20110831.csv;because
dans;FRENCH;with;stopwords-forbidden-SW-20111107.csv;dance
dann;GERMAN;then;stopwords-forbidden-GE-20120107.csv;Surname
are;ENGLISH;present;stopwords-forbidden-FR-20111013.csv;unit of measurement (100 square meters)
der;DUTCH|GERMAN;Old Dutch form of 'van der' still found in surnames|the;stopwords-forbidden-GE-20120107.csv;First Name, Surname, Abbreviation for different items
des;FRENCH|GERMAN;de + les|;stopwords-forbidden-GE-20120107.csv;Abbreviation for different items
den;GERMAN|SWEDISH;|it, this/that;stopwords-forbidden-GE-20120107.csv;egyptian king
dem;GERMAN|SWEDISH;|them;stopwords-forbidden-GE-20120107.csv;Abbreviation for different items
auch;GERMAN;also;stopwords-forbidden-FR-20111013.csv|stopwords-forbidden-GE-20120107.csv;place name in France|City in France
hun;DUTCH;their, them;stopwords-forbidden-FR-20111013.csv;hun (you know Attila etc.)
mir;GERMAN;to me;stopwords-forbidden-GE-20120107.csv;Surname, russian space station
mit;GERMAN;with;stopwords-forbidden-GE-20120107.csv;Abbreviation for different items
teve;PORTUGUESE;;stopwords-forbidden-SW-20111107.csv;television
contra;SPANISH;against;stopwords-forbidden-PT-20110831.csv;against
aux;FRENCH;a + les;stopwords-forbidden-FR-20111013.csv;means also garlic (plural)
tes;FRENCH;thy (pl);stopwords-forbidden-SW-20111107.csv;thesis
zu;GERMAN;to;stopwords-forbidden-GE-20120107.csv;Name, Abbreviation for different things
die;DUTCH|GERMAN;that, those, who, which|;stopwords-forbidden-GE-20120107.csv;Surname, Abbreviation for different items
aus;GERMAN;out of;stopwords-forbidden-GE-20120107.csv;Surname
auf;GERMAN;on;stopwords-forbidden-GE-20120107.csv;Abreviation for a party
