Stopword;Language;English translation
an;IRISH;the
na;IRISH;the
ar;IRISH;on
agus;IRISH;and
um;IRISH;of
le;IRISH;with
don;IRISH;for
do;IRISH;for
ó;IRISH;from
sa;IRISH;in
