Stopword;Language;English translation;Needed in your language;Remove it from my language stopword list;Why? English comment/translation
vor;GERMAN;before;;;
während;GERMAN;while;;;
war;GERMAN;was;;;
waren;GERMAN;were;;;
warst;GERMAN;wast;;;
was;GERMAN;what;;;
weg;GERMAN;away, off;;;
weil;GERMAN;because;;;
weiter;GERMAN;further;;;
welche;GERMAN;which;;;
welchem;GERMAN;;;;
welchen;GERMAN;;;;
welcher;GERMAN;;;;
welches;GERMAN;;;;
wenn;GERMAN;when;;;
werde;GERMAN;will;;;
werden;GERMAN;will;;;
wie;GERMAN;how;;;
wieder;GERMAN;again;;;
will;GERMAN;want;;;
wir;GERMAN;we;;;
wird;GERMAN;will;;;
wirst;GERMAN;willst;;;
wo;GERMAN;where;;;
wollen;GERMAN;want;;;
wollte;GERMAN;wanted;;;
würde;GERMAN;would;;;
würden;GERMAN;would;;;
zu;GERMAN;to;;;
zum;GERMAN;zu + dem;;;
zur;GERMAN;zu + der;;;
zwar;GERMAN;indeed;;;
zwischen;GERMAN;between;;;
﻿μή;GREEK;;;;
ἑαυτοῦ;GREEK;;;;
ἄν;GREEK;;;;
ἀλλ’;GREEK;;;;
ἀλλά;GREEK;;;;
ἄλλοσ;GREEK;;;;
ἀπό;GREEK;;;;
ἄρα;GREEK;;;;
αὐτόσ;GREEK;;;;
δ’;GREEK;;;;
δέ;GREEK;;;;
δή;GREEK;;;;
διά;GREEK;;;;
δαί;GREEK;;;;
δαίσ;GREEK;;;;
ἔτι;GREEK;;;;
ἐγώ;GREEK;;;;
ἐκ;GREEK;;;;
ἐμόσ;GREEK;;;;
ἐν;GREEK;;;;
ἐπί;GREEK;;;;
εἰ;GREEK;;;;
εἰμί;GREEK;;;;
εἴμι;GREEK;;;;
εἰσ;GREEK;;;;
γάρ;GREEK;;;;
γε;GREEK;;;;
γα^;GREEK;;;;
ἡ;GREEK;;;;
ἤ;GREEK;;;;
καί;GREEK;;;;
κατά;GREEK;;;;
μέν;GREEK;;;;
μετά;GREEK;;;;
μή;GREEK;;;;
ὁ;GREEK;;;;
ὅδε;GREEK;;;;
ὅσ;GREEK;;;;
ὅστισ;GREEK;;;;
ὅτι;GREEK;;;;
οὕτωσ;GREEK;;;;
οὗτοσ;GREEK;;;;
οὔτε;GREEK;;;;
οὖν;GREEK;;;;
οὐδείσ;GREEK;;;;
οἱ;GREEK;;;;
οὐ;GREEK;;;;
οὐδέ;GREEK;;;;
οὐκ;GREEK;;;;
περί;GREEK;;;;
πρόσ;GREEK;;;;
σύ;GREEK;;;;
σύν;GREEK;;;;
τά;GREEK;;;;
τε;GREEK;;;;
τήν;GREEK;;;;
τῆσ;GREEK;;;;
τῇ;GREEK;;;;
τι;GREEK;;;;
τί;GREEK;;;;
τισ;GREEK;;;;
τίσ;GREEK;;;;
τό;GREEK;;;;
τοί;GREEK;;;;
τοιοῦτοσ;GREEK;;;;
τόν;GREEK;;;;
τούσ;GREEK;;;;
τοῦ;GREEK;;;;
τῶν;GREEK;;;;
τῷ;GREEK;;;;
ὑμόσ;GREEK;;;;
ὑπέρ;GREEK;;;;
ὑπό;GREEK;;;;
ὡσ;GREEK;;;;
ὦ;GREEK;;;;
ὥστε;GREEK;;;;
ἐάν;GREEK;;;;
παρά;GREEK;;;;
σόσ;GREEK;;;;
de;PORTUGUESE;of, from;;;
a;PORTUGUESE;the, to, at, her;;;
o;PORTUGUESE;the, him;;;
que;PORTUGUESE;who, that;;;
e;PORTUGUESE;and;;;
do;PORTUGUESE;de + o;yes  ;;note C
da;PORTUGUESE;de + a;;;
em;PORTUGUESE;in;;;
um;PORTUGUESE;a;;;
para;PORTUGUESE;for;;;
com;PORTUGUESE;with;;;
não;PORTUGUESE;not, no;;;
uma;PORTUGUESE;a;;;
os;PORTUGUESE;the, them;yes  ;;means bone
no;PORTUGUESE;em + o;;;
se;PORTUGUESE;himself etc;;;
na;PORTUGUESE;em + a;;;
por;PORTUGUESE;for;;;
mais;PORTUGUESE;more;;;
as;PORTUGUESE;the, them;yes  ;;means ace
dos;PORTUGUESE;de + os;yes  ;;means back
como;PORTUGUESE;as, like;;;
mas;PORTUGUESE;but;yes  ;; means farm (in the south)
ao;PORTUGUESE;a + o;;;
ele;PORTUGUESE;he;;;
das;PORTUGUESE;de + as;;;
à;PORTUGUESE;a + a;;;
seu;PORTUGUESE;his;;;
sua;PORTUGUESE;her;;;
ou;PORTUGUESE;or;;;
quando;PORTUGUESE;when;;;
muito;PORTUGUESE;much;;;
nos;PORTUGUESE;em + os, us;;;
já;PORTUGUESE;already, now;;;
eu;PORTUGUESE;I;;;
também;PORTUGUESE;also;;;
só;PORTUGUESE;only, just;;;
pelo;PORTUGUESE;per + o;;;
pela;PORTUGUESE;per + a;;;
até;PORTUGUESE;up to;;;
isso;PORTUGUESE;that;;;
ela;PORTUGUESE;he;;;
entre;PORTUGUESE;between;;;
depois;PORTUGUESE;after;;;
sem;PORTUGUESE;without;;;
mesmo;PORTUGUESE;same;;;
aos;PORTUGUESE;a + os;;;
seus;PORTUGUESE;his;;;
quem;PORTUGUESE;whom;;;
nas;PORTUGUESE;em + as;;;
me;PORTUGUESE;me;;;
esse;PORTUGUESE;that;yes (probably);;means linchpin (?)
eles;PORTUGUESE;they;;;
você;PORTUGUESE;you;;;
essa;PORTUGUESE;that;;;
num;PORTUGUESE;em + um;;;
nem;PORTUGUESE;nor;;;
suas;PORTUGUESE;her;;;
meu;PORTUGUESE;my;;;
às;PORTUGUESE;a + as;;;
minha;PORTUGUESE;my;;;
numa;PORTUGUESE;em + uma;;;
pelos;PORTUGUESE;per + os;;;
elas;PORTUGUESE;they;;;
qual;PORTUGUESE;which;;;
nós;PORTUGUESE;we;;;
lhe;PORTUGUESE;to him, her;;;
deles;PORTUGUESE;of them;;;
essas;PORTUGUESE;those;;;
esses;PORTUGUESE;those;;;
pelas;PORTUGUESE;per + as;;;
este;PORTUGUESE;this;yes  ;;family name
dele;PORTUGUESE;of him;;;
tu;PORTUGUESE;thou;;;
te;PORTUGUESE;thee;;;
vocês;PORTUGUESE;you (plural);;;
vos;PORTUGUESE;you;;;
lhes;PORTUGUESE;to them;;;
meus;PORTUGUESE;my;;;
minhas;PORTUGUESE;;;;
teu;PORTUGUESE;thy;;;
tua;PORTUGUESE;;;;
teus;PORTUGUESE;;;;
tuas;PORTUGUESE;;;;
nosso;PORTUGUESE;our;;;
nossa;PORTUGUESE;;;;
nossos;PORTUGUESE;;;;
nossas;PORTUGUESE;;;;
dela;PORTUGUESE;of her;;;
delas;PORTUGUESE;of them;;;
esta;PORTUGUESE;this;;;
estes;PORTUGUESE;these;;;
estas;PORTUGUESE;these;;;
aquele;PORTUGUESE;that;;;
aquela;PORTUGUESE;that;;;
aqueles;PORTUGUESE;those;;;
aquelas;PORTUGUESE;those;;;
isto;PORTUGUESE;this;;;
aquilo;PORTUGUESE;that;;;
estou;PORTUGUESE;;;;
está;PORTUGUESE;;;;
estamos;PORTUGUESE;;;;
estão;PORTUGUESE;;;;
estive;PORTUGUESE;;yes  ;;means summer pasture 
esteve;PORTUGUESE;;;;
estivemos;PORTUGUESE;;;;
estiveram;PORTUGUESE;;;;
estava;PORTUGUESE;;;;
estávamos;PORTUGUESE;;;;
estavam;PORTUGUESE;;;;
estivera;PORTUGUESE;;;;
estivéramos;PORTUGUESE;;;;
esteja;PORTUGUESE;;;;
estejamos;PORTUGUESE;;;;
estejam;PORTUGUESE;;;;
estivesse;PORTUGUESE;;;;
estivéssemos;PORTUGUESE;;;;
estivessem;PORTUGUESE;;;;
estiver;PORTUGUESE;;;;
estivermos;PORTUGUESE;;;;
estiverem;PORTUGUESE;;;;
hei;PORTUGUESE;;;;
há;PORTUGUESE;;;;
havemos;PORTUGUESE;;;;
hão;PORTUGUESE;;;;
houve;PORTUGUESE;;;;
houvemos;PORTUGUESE;;;;
houveram;PORTUGUESE;;;;
houvera;PORTUGUESE;;;;
houvéramos;PORTUGUESE;;;;
haja;PORTUGUESE;;;;
hajamos;PORTUGUESE;;;;
hajam;PORTUGUESE;;;;
houvesse;PORTUGUESE;;;;
houvéssemos;PORTUGUESE;;;;
houvessem;PORTUGUESE;;;;
houver;PORTUGUESE;;;;
houvermos;PORTUGUESE;;;;
houverem;PORTUGUESE;;;;
houverei;PORTUGUESE;;;;
houverá;PORTUGUESE;;;;
houveremos;PORTUGUESE;;;;
houverão;PORTUGUESE;;;;
houveria;PORTUGUESE;;;;
houveríamos;PORTUGUESE;;;;
houveriam;PORTUGUESE;;;;
sou;PORTUGUESE;;yes;;means money (approximatively)
somos;PORTUGUESE;;;;
são;PORTUGUESE;;;;
era;PORTUGUESE;;;;
éramos;PORTUGUESE;;;;
eram;PORTUGUESE;;;;
fui;PORTUGUESE;;;;
foi;PORTUGUESE;;;;
fomos;PORTUGUESE;;;;
foram;PORTUGUESE;;;;
fora;PORTUGUESE;;;;
fôramos;PORTUGUESE;;;;
seja;PORTUGUESE;;;;
sejamos;PORTUGUESE;;;;
sejam;PORTUGUESE;;;;
fosse;PORTUGUESE;;yes;;means pit or grave
fôssemos;PORTUGUESE;;;;
fossem;PORTUGUESE;;;;
for;PORTUGUESE;;yes;;Means ? 
formos;PORTUGUESE;;;;
forem;PORTUGUESE;;;;
serei;PORTUGUESE;;;;
será;PORTUGUESE;;;;
seremos;PORTUGUESE;;;;
serão;PORTUGUESE;;;;
seria;PORTUGUESE;;;;
seríamos;PORTUGUESE;;;;
seriam;PORTUGUESE;;;;
tenho;PORTUGUESE;;;;
tem;PORTUGUESE;;;;
temos;PORTUGUESE;;;;
tém;PORTUGUESE;;;;
tinha;PORTUGUESE;;;;
tínhamos;PORTUGUESE;;;;
tinham;PORTUGUESE;;;;
tive;PORTUGUESE;;;;
teve;PORTUGUESE;;;;
tivemos;PORTUGUESE;;;;
tiveram;PORTUGUESE;;;;
tivera;PORTUGUESE;;;;
tivéramos;PORTUGUESE;;;;
tenha;PORTUGUESE;;;;
tenhamos;PORTUGUESE;;;;
tenham;PORTUGUESE;;;;
tivesse;PORTUGUESE;;;;
tivéssemos;PORTUGUESE;;;;
tivessem;PORTUGUESE;;;;
tiver;PORTUGUESE;;;;
tivermos;PORTUGUESE;;;;
tiverem;PORTUGUESE;;;;
terei;PORTUGUESE;;;;
terá;PORTUGUESE;;;;
teremos;PORTUGUESE;;;;
terão;PORTUGUESE;;;;
teria;PORTUGUESE;;;;
teríamos;PORTUGUESE;;;;
teriam;PORTUGUESE;;;;
de;SPANISH;from, of;;;
la;SPANISH;the, her;;;
que;SPANISH;who, that;;;
el;SPANISH;the;;;
en;SPANISH;in;;;
y;SPANISH;and;;;
a;SPANISH;to;;;
los;SPANISH;the, them;;;
del;SPANISH;de + el;;;
se;SPANISH;himself, from him etc;;;
las;SPANISH;the, them;yes (probably);;means tired
por;SPANISH;for, by, etc;;;
un;SPANISH;a;;;
para;SPANISH;for;;;
con;SPANISH;with;;;
no;SPANISH;no;;;
una;SPANISH;a;;;
su;SPANISH;his, her;;;
al;SPANISH;a + el;;;
lo;SPANISH;him;;;
como;SPANISH;how;;;
más;SPANISH;more;;;
pero;SPANISH;pero;;;
sus;SPANISH;su plural;;;
le;SPANISH;to him, her;;;
ya;SPANISH;already;;;
o;SPANISH;or;;;
este;SPANISH;this;yes;;family name
sí;SPANISH;himself etc;;;
porque;SPANISH;because;;;
esta;SPANISH;this;;;
entre;SPANISH;between;;;
cuando;SPANISH;when;;;
muy;SPANISH;very;;;
sin;SPANISH;without;;;
sobre;SPANISH;on;;;
también;SPANISH;also;;;
me;SPANISH;me;;;
hasta;SPANISH;until;;;
hay;SPANISH;there is/are;;;
donde;SPANISH;where;;;
quien;SPANISH;whom, that;;;
desde;SPANISH;from;;;
todo;SPANISH;all;;;
nos;SPANISH;us;;;
durante;SPANISH;during;;;
todos;SPANISH;all;;;
uno;SPANISH;a;;;
les;SPANISH;to them;;;
ni;SPANISH;nor;;;
contra;SPANISH;against;;;
otros;SPANISH;other;;;
ese;SPANISH;that;;;
eso;SPANISH;that;;;
ante;SPANISH;before;;;
ellos;SPANISH;they;;;
e;SPANISH;and (variant of y);;;
esto;SPANISH;this;;;
mí;SPANISH;me;;;
antes;SPANISH;before;;;
algunos;SPANISH;some;;;
qué;SPANISH;what?;;;
unos;SPANISH;a;;;
yo;SPANISH;I;;;
otro;SPANISH;other;;;
otras;SPANISH;other;;;
otra;SPANISH;other;;;
él;SPANISH;he;;;
tanto;SPANISH;so much, many;;;
esa;SPANISH;that;;;
estos;SPANISH;these;;;
mucho;SPANISH;much, many;;;
quienes;SPANISH;who;;;
nada;SPANISH;nothing;;;
muchos;SPANISH;many;;;
cual;SPANISH;who;;;
poco;SPANISH;few;;;
ella;SPANISH;she;;;
estar;SPANISH;to be;;;
estas;SPANISH;these;;;
algunas;SPANISH;some;;;
algo;SPANISH;something;;;
nosotros;SPANISH;we;;;
mi;SPANISH;me;yes  ;;note E
mis;SPANISH;mi plural;;;
tú;SPANISH;thou;;;
te;SPANISH;thee;;;
ti;SPANISH;thee;;;
tu;SPANISH;thy;;;
tus;SPANISH;tu plural;;;
ellas;SPANISH;they;;;
nosotras;SPANISH;we;;;
vosotros;SPANISH;you;;;
vosotras;SPANISH;you;;;
os;SPANISH;you;yes  ;;means bone
mío;SPANISH;mine;;;
mía;SPANISH;;;;
míos;SPANISH;;;;
mías;SPANISH;;;;
tuyo;SPANISH;thine;;;
tuya;SPANISH;;;;
tuyos;SPANISH;;;;
tuyas;SPANISH;;;;
suyo;SPANISH;his, hers, theirs;;;
suya;SPANISH;;;;
suyos;SPANISH;;;;
suyas;SPANISH;;;;
nuestro;SPANISH;ours;;;
nuestra;SPANISH;;;;
nuestros;SPANISH;;;;
nuestras;SPANISH;;;;
vuestro;SPANISH;yours;;;
vuestra;SPANISH;;;;
vuestros;SPANISH;;;;
vuestras;SPANISH;;;;
esos;SPANISH;those;;;
esas;SPANISH;those;;;
estoy;SPANISH;;;;
estás;SPANISH;;;;
está;SPANISH;;;;
estamos;SPANISH;;;;
estáis;SPANISH;;;;
están;SPANISH;;;;
esté;SPANISH;;;;
estés;SPANISH;;;;
estemos;SPANISH;;;;
estéis;SPANISH;;;;
estén;SPANISH;;;;
estaré;SPANISH;;;;
estarás;SPANISH;;;;
estará;SPANISH;;;;
estaremos;SPANISH;;;;
estaréis;SPANISH;;;;
estarán;SPANISH;;;;
estaría;SPANISH;;;;
estarías;SPANISH;;;;
estaríamos;SPANISH;;;;
estaríais;SPANISH;;;;
estarían;SPANISH;;;;
estaba;SPANISH;;;;
estabas;SPANISH;;;;
estábamos;SPANISH;;;;
estabais;SPANISH;;;;
estaban;SPANISH;;;;
estuve;SPANISH;;;;
estuviste;SPANISH;;;;
estuvo;SPANISH;;;;
estuvimos;SPANISH;;;;
estuvisteis;SPANISH;;;;
estuvieron;SPANISH;;;;
estuviera;SPANISH;;;;
estuvieras;SPANISH;;;;
estuviéramos;SPANISH;;;;
estuvierais;SPANISH;;;;
estuvieran;SPANISH;;;;
estuviese;SPANISH;;;;
estuvieses;SPANISH;;;;
estuviésemos;SPANISH;;;;
estuvieseis;SPANISH;;;;
estuviesen;SPANISH;;;;
estando;SPANISH;;;;
estado;SPANISH;;;;
estada;SPANISH;;;;
estados;SPANISH;;;;
estadas;SPANISH;;;;
estad;SPANISH;;;;
he;SPANISH;;;;
has;SPANISH;;;;
ha;SPANISH;;;;
hemos;SPANISH;;;;
habéis;SPANISH;;;;
han;SPANISH;;yes  ;;name of the Chinese people and of a shell
haya;SPANISH;;;;
hayas;SPANISH;;;;
hayamos;SPANISH;;;;
hayáis;SPANISH;;;;
hayan;SPANISH;;;;
habré;SPANISH;;;;
habrás;SPANISH;;;;
habrá;SPANISH;;;;
habremos;SPANISH;;;;
habréis;SPANISH;;;;
habrán;SPANISH;;;;
habría;SPANISH;;;;
habrías;SPANISH;;;;
habríamos;SPANISH;;;;
habríais;SPANISH;;;;
habrían;SPANISH;;;;
había;SPANISH;;;;
habías;SPANISH;;;;
habíamos;SPANISH;;;;
habíais;SPANISH;;;;
habían;SPANISH;;;;
hube;SPANISH;;;;
hubiste;SPANISH;;;;
hubo;SPANISH;;;;
hubimos;SPANISH;;;;
hubisteis;SPANISH;;;;
hubieron;SPANISH;;;;
hubiera;SPANISH;;;;
hubieras;SPANISH;;;;
hubiéramos;SPANISH;;;;
hubierais;SPANISH;;;;
hubieran;SPANISH;;;;
hubiese;SPANISH;;;;
hubieses;SPANISH;;;;
hubiésemos;SPANISH;;;;
hubieseis;SPANISH;;;;
hubiesen;SPANISH;;;;
habiendo;SPANISH;;;;
habido;SPANISH;;;;
habida;SPANISH;;;;
habidos;SPANISH;;;;
habidas;SPANISH;;;;
soy;SPANISH;;;;
eres;SPANISH;;;;
es;SPANISH;;;;
somos;SPANISH;;;;
sois;SPANISH;;;;
son;SPANISH;;;;
sea;SPANISH;;;;
seas;SPANISH;;;;
seamos;SPANISH;;;;
seáis;SPANISH;;;;
sean;SPANISH;;yes (probably);;very common first name in Irish
seré;SPANISH;;;;
serás;SPANISH;;;;
será;SPANISH;;;;
seremos;SPANISH;;;;
seréis;SPANISH;;;;
serán;SPANISH;;;;
sería;SPANISH;;;;
serías;SPANISH;;;;
seríamos;SPANISH;;;;
seríais;SPANISH;;;;
serían;SPANISH;;;;
era;SPANISH;;;;
eras;SPANISH;;;;
éramos;SPANISH;;;;
erais;SPANISH;;;;
eran;SPANISH;;;;
fui;SPANISH;;;;
fuiste;SPANISH;;;;
fue;SPANISH;;;;
fuimos;SPANISH;;;;
fuisteis;SPANISH;;;;
fueron;SPANISH;;;;
fuera;SPANISH;;;;
fueras;SPANISH;;;;
fuéramos;SPANISH;;;;
fuerais;SPANISH;;;;
fueran;SPANISH;;;;
fuese;SPANISH;;;;
fueses;SPANISH;;;;
fuésemos;SPANISH;;;;
fueseis;SPANISH;;;;
fuesen;SPANISH;;;;
siendo;SPANISH;;;;
sido;SPANISH;;;;
tengo;SPANISH;;;;
tienes;SPANISH;;;;
tiene;SPANISH;;;;
tenemos;SPANISH;;;;
tenéis;SPANISH;;;;
tienen;SPANISH;;;;
tenga;SPANISH;;;;
tengas;SPANISH;;;;
tengamos;SPANISH;;;;
tengáis;SPANISH;;;;
tengan;SPANISH;;;;
tendré;SPANISH;;;;
tendrás;SPANISH;;;;
tendrá;SPANISH;;;;
tendremos;SPANISH;;;;
tendréis;SPANISH;;;;
tendrán;SPANISH;;;;
tendría;SPANISH;;;;
tendrías;SPANISH;;;;
tendríamos;SPANISH;;;;
tendríais;SPANISH;;;;
tendrían;SPANISH;;;;
tenía;SPANISH;;;;
tenías;SPANISH;;;;
teníamos;SPANISH;;;;
teníais;SPANISH;;;;
tenían;SPANISH;;;;
tuve;SPANISH;;;;
tuviste;SPANISH;;;;
tuvo;SPANISH;;;;
tuvimos;SPANISH;;;;
tuvisteis;SPANISH;;;;
tuvieron;SPANISH;;;;
tuviera;SPANISH;;;;
tuvieras;SPANISH;;;;
tuviéramos;SPANISH;;;;
tuvierais;SPANISH;;;;
tuvieran;SPANISH;;;;
tuviese;SPANISH;;;;
tuvieses;SPANISH;;;;
tuviésemos;SPANISH;;;;
tuvieseis;SPANISH;;;;
tuviesen;SPANISH;;;;
teniendo;SPANISH;;;;
tenido;SPANISH;;;;
tenida;SPANISH;;;;
tenidos;SPANISH;;;;
tenidas;SPANISH;;;;
tened;SPANISH;;;;
och;SWEDISH;and;;;
det;SWEDISH;it, this/that;;;
att;SWEDISH;to (with infinitive);;;
i;SWEDISH;in, at;;;
en;SWEDISH;a;;;
jag;SWEDISH;I;;;
hon;SWEDISH;she;;;
som;SWEDISH;who, that;;;
han;SWEDISH;he;yes  ;;name of the Chinese people and of a shell
på;SWEDISH;on;;;
den;SWEDISH;it, this/that;;;
med;SWEDISH;with;;;
var;SWEDISH;where, each;yes;;name of a French department
sig;SWEDISH;him(self) etc;;;
för;SWEDISH;for;;;
så;SWEDISH;so (also: seed);;;
till;SWEDISH;to;;;
är;SWEDISH;is;;;
men;SWEDISH;but;;;
ett;SWEDISH;a;;;
om;SWEDISH;if, around, about;;;
hade;SWEDISH;had;;;
de;SWEDISH;they, these/those;;;
av;SWEDISH;of;;;
icke;SWEDISH;not, no;;;
mig;SWEDISH;me;;;
du;SWEDISH;you;;;
henne;SWEDISH;her;;;
då;SWEDISH;then, when;;;
sin;SWEDISH;his;;;
nu;SWEDISH;now;;;
har;SWEDISH;have;;;
inte;SWEDISH;inte någon = no one;;;
hans;SWEDISH;his;yes  ;;very common first name in lot of languages, including French (well, Alsaciens)
honom;SWEDISH;him;;;
skulle;SWEDISH;'sake';;;
hennes;SWEDISH;her;;;
där;SWEDISH;there;;;
min;SWEDISH;my;;;
man;SWEDISH;one (pronoun);yes  ;;place name (Island of Man)
ej;SWEDISH;nor;;;
vid;SWEDISH;at, by, on (also: vast);;;
kunde;SWEDISH;could;;;
något;SWEDISH;some etc;;;
från;SWEDISH;from, off;;;
ut;SWEDISH;out;yes;;note C (as do)
när;SWEDISH;when;;;
efter;SWEDISH;after, behind;;;
upp;SWEDISH;up;;;
vi;SWEDISH;we;;;
dem;SWEDISH;them;;;
vara;SWEDISH;be;;;
vad;SWEDISH;what;;;
över;SWEDISH;over;;;
än;SWEDISH;than;;;
dig;SWEDISH;you;;;
kan;SWEDISH;can;;;
sina;SWEDISH;his;;;
här;SWEDISH;here;;;
ha;SWEDISH;have;;;
mot;SWEDISH;towards;yes  ; ;means word!
alla;SWEDISH;all;;;
under;SWEDISH;under (also: wonder);;;
någon;SWEDISH;some etc;;;
eller;SWEDISH;or (else);;;
allt;SWEDISH;all;;;
mycket;SWEDISH;much;;;
sedan;SWEDISH;since;yes  ; ;city in the north of France
ju;SWEDISH;why;;;
denna;SWEDISH;this/that;;;
själv;SWEDISH;myself, yourself etc;;;
detta;SWEDISH;this/that;;;
åt;SWEDISH;to;;;
utan;SWEDISH;without;;;
varit;SWEDISH;was;;;
hur;SWEDISH;how;;;
ingen;SWEDISH;no;;;
mitt;SWEDISH;my;;;
ni;SWEDISH;you;;;
bli;SWEDISH;to be, become;;;
blev;SWEDISH;from bli;;;
oss;SWEDISH;us;;;
din;SWEDISH;thy;;;
dessa;SWEDISH;these/those;;;
några;SWEDISH;some etc;;;
deras;SWEDISH;their;;;
blir;SWEDISH;from bli;;;
mina;SWEDISH;my;;;
samma;SWEDISH;(the) same;;;
vilken;SWEDISH;who, that;;;
er;SWEDISH;you, your;;;
sådan;SWEDISH;such a;;;
vår;SWEDISH;our;;;
blivit;SWEDISH;from bli;;;
dess;SWEDISH;its;;;
inom;SWEDISH;within;;;
mellan;SWEDISH;between;;;
sådant;SWEDISH;such a;;;
varför;SWEDISH;why;;;
varje;SWEDISH;each;;;
vilka;SWEDISH;who, that;;;
ditt;SWEDISH;thy;;;
vem;SWEDISH;who;;;
vilket;SWEDISH;who, that;;;
sitta;SWEDISH;his;;;
sådana;SWEDISH;such a;;;
vart;SWEDISH;each;;;
dina;SWEDISH;thy;;;
vars;SWEDISH;whose;;;
vårt;SWEDISH;our;;;
våra;SWEDISH;our;;;
ert;SWEDISH;your;;;
era;SWEDISH;your;;;
vilkas;SWEDISH;whose;;;
